if_,Genotype,Phenotype,Activity_Score,Comment,Gene,Flag,Flag_Note
C__31983399_10MUT,A/A,Report Genotype Only,NA,#N/A,CYP2C CLUSTER,yes,A
C__31983399_10HET,A/G,Report Genotype Only,NA,#N/A,CYP2C CLUSTER,yes,A
C__31983399_10WT,G/G,Report Genotype Only,NA,#N/A,CYP2C CLUSTER,no,
C__25986767_70WTC__27861809_10WTC__30634136_10WTC__27531918_10WTC__30634130_30WTC____469857_10WTC__30634128_10WT,*1/*1,Normal Metabolizer,NA,"Normal CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,no,
C__25986767_70WTC__27861809_10WTC__30634136_10WTC__27531918_10WTC__30634130_30WTC____469857_10WTC__30634128_10HET,*1/*10,Intermediate Metabolizer,NA,"Decreased CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
C__25986767_70WTC__27861809_10WTC__30634136_10WTC__27531918_10WTC__30634130_30WTC____469857_10HETC__30634128_10WT,*1/*17,Rapid Metabolizer,NA,"Increased CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
C__25986767_70HETC__27861809_10WTC__30634136_10WTC__27531918_10WTC__30634130_30WTC____469857_10WTC__30634128_10WT,*1/*2,Intermediate Metabolizer,NA,"Decreased CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
C__25986767_70WTC__27861809_10HETC__30634136_10WTC__27531918_10WTC__30634130_30WTC____469857_10WTC__30634128_10WT,*1/*3,Intermediate Metabolizer,NA,"Decreased CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
C__25986767_70WTC__27861809_10WTC__30634136_10HETC__27531918_10WTC__30634130_30WTC____469857_10WTC__30634128_10WT,*1/*4,Intermediate Metabolizer,NA,"Decreased CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
C__25986767_70WTC__27861809_10WTC__30634136_10WTC__27531918_10HETC__30634130_30WTC____469857_10WTC__30634128_10WT,*1/*6,Intermediate Metabolizer,NA,"Decreased CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
C__25986767_70WTC__27861809_10WTC__30634136_10WTC__27531918_10WTC__30634130_30HETC____469857_10WTC__30634128_10WT,*1/*8,Intermediate Metabolizer,NA,"Decreased CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
C__25986767_70NOAMPC__27861809_10WTC__30634136_10WTC__27531918_10WTC__30634130_30WTC____469857_10WTC__30634128_10MUT,*10/*10,Poor Metabolizer,NA,"No CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
C__25986767_70WTC__27861809_10WTC__30634136_10WTC__27531918_10WTC__30634130_30WTC____469857_10HETC__30634128_10HET,*10/*17,Intermediate Metabolizer,NA,"Decreased CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
C__25986767_70WTC__27861809_10WTC__30634136_10WTC__27531918_10WTC__30634130_30WTC____469857_10MUTC__30634128_10WT,*17/*17,Ultrarapid Metabolizer,NA,"Very increased CYP2C19 enzyme activity. Pharmacogenetic variability in the CYP2C19 enzyme can affect the plasma concentrations of many medications, including clopidogrel, some SSRIs (i.e., sertraline, escitalopram, citalopram), some proton pump inhibitors (i.e., dexlansoprazole, lansoprazole, omeprazole, pantoprazole, possibly esomeprazole), and voriconazole.",CYP2C19,yes,A
